"year","hsRateCore","hsRateDeveloped","hsRateGrowing","hsRateRural"
2000, 0.699,0.867,0.904,0.858
2005,0, 0, 0, 0
2006,0, 0, 0, 0
2007,0, 0, 0, 0
2008,0, 0, 0, 0
2009,0, 0, 0, 0
2010,0, 0, 0, 0
2011,0, 0, 0, 0
2012,0, 0, 0, 0
2013,0.801,0.917,0.943,0.911
2014,0, 0, 0, 0
2015,0, 0, 0, 0
2016,0, 0, 0, 0
2017,0, 0, 0, 0
2018,0.827,0.928,0.946,0.929
2019,0, 0, 0, 0
2020,0, 0, 0, 0
2021,0, 0, 0, 0
2022,0, 0, 0, 0
2023,0.862,0.938,0.957,0.937
